Path,QAID,Objective,Priority,Bug,Result,Build,Mark,Tester,Autotested,Platform,BIOS,Comment
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/Explicit-Web/accept_fastmatch/,,Verify http matching subnet dstaddr + single interface – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
,,Verify http matching fqdn dstaddr + single interface – ACCEPT,,,,,,,,,,
,,Verify http matching wildcard-fqdn dstaddr + single interface – ACCEPT,,,,,,,,,,
,,Verify http matching subnet srcaddr + single interface – ACCEPT,,,,,,,,,,
,,Verify http matching fqdn srcaddr + single interface – ACCEPT,,,,,,,,,,
,,Verify http matching fqdn dstaddr 2nd policy + single interface  – ACCEPT,,,,,,,,,,
,,Verify socks proxy – ACCEPT,,,,,,,,,,
,,Verify FOH – ACCEPT,,,,,,,,,,
,,Verify SSHoverHTTP – ACCEPT,,,,,,,,,,
,,Verify http matching multi srcintf – ACCEPT,,,,,,,,,,
,,Verify http matching multi dstintf – ACCEPT,,,,,,,,,,
,,Verify http matching with expired schedule – ACCEPT,,,,,,,,,,
,,Verify http matching 2nd with expired schedule – ACCEPT,,,,,,,,,,
,,Verify policy Matching with sepcific serivces – ACCEPT,,,,,,,,,,
,,Verify policy Matching 2nd with sepcific serivces – ACCEPT,,,,,,,,,,
,,Verify policy Matching the TP-polocy with address group + bypass NAT  – ACCEPT,,,,,,,,,,
,,Verify policy Matching the TP-polocy with sevice-negate + bypass NAT  – ACCEPT,,,,,,,,,,
,,Verify policy Matching the TP-polocy with address-negate + bypass NAT  – ACCEPT,,,,,,,,,,
,,Verify HTTP policy Matching the TP-polocy with basic auth + bypass NAT  – ACCEPT,,,,,,,,,,
,,Verify non-http policy Matching the TP-polocy with basic auth + bypass NAT  – ACCEPT,,,,,,,,,,
,,Verify policy Matching the TP-polocy with address-negate + bypass NAT  – ACCEPT,,,,,,,,,,
,,,,,,,,,,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,,Verify GET/POST/PUT Matching the TP-polocy subnet dstaddr + single interface + bypass NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,,Verify GET/POST/PUT Matching the TP-polocy fqdn dstaddr + single interface + bypass NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,,Verify GET/POST/PUT Matching the TP-polocy wildcard-fqdn dstaddr + single interface + bypass NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,,Verify GET/POST/PUT Matching the TP-polocy subnet srcaddr + single interface + bypass NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,,Verify GET/POST/PUT Matching the TP-polocy fqdn srcaddr + single interface + bypass NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,,Verify GET/POST/PUT Matching the TP-polocy kernel matching only + bypass NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,,Verify http Matching the TP-polocy fqdn dstaddr @wad + single interface + bypass NAT – ACCEPT,Critical,,Untested,,,,,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,8,Verify non-http Matching the TP-polocy kernel matching only + bypass NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,,Verify ftp Matching the TP-polocy @wad + bypass NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,,Verify ssh Matching the TP-polocy @wad + bypass NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,,Verify non-http Matching the TP-polocy @wad + bypass NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,,Verify GET/POST/PUT Matching the TP-polocy multi dstintf + bypass NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,,Verify GET/POST/PUT Matching the TP-polocy multi srctintf + bypass NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,,Verify policy Matching the TP-polocy with expired schedule + bypass NAT  – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,,Verify policy Matching the TP-polocy @wad with expired schedule + bypass NAT  – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,,Verify policy Matching the TP-polocy with sepcific serivces+ bypass NAT  – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,,Verify policy Matching the TP-polocy @wad with sepcific serivces+ bypass NAT  – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,,Verify policy Matching the TP-polocy with address group + bypass NAT  – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,,Verify policy Matching the TP-polocy with sevice-negate + bypass NAT  – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,,Verify policy Matching the TP-polocy with address-negate + bypass NAT  – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,,Verify HTTP policy Matching the TP-polocy with basic auth + bypass NAT  – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,,Verify non-http policy Matching the TP-polocy with basic auth + bypass NAT  – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/no-nat-accept/,,Verify policy Matching the TP-polocy with address-negate + bypass NAT  – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/,,Verify GET/POST/PUT Matching the TP-polocy subnet dstaddr + single interface + NAT - ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/,,Verify GET/POST/PUT Matching the TP-polocy fqdn dstaddr + single interface + NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/,,Verify GET/POST/PUT Matching the TP-polocy wildcard-fqdn dstaddr + single interface + NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
