Path,QAID,Objective,Priority,Bug,Result,Build,Mark,Tester,Autotested,Platform,BIOS,Comment
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/,,Verify GET/POST/PUT Matching the TP-polocy subnet srcaddr + single interface + NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/,,Verify GET/POST/PUT Matching the TP-polocy fqdn srcaddr + single interface + NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/,,Verify GET/POST/PUT Matching the TP-polocy kernel matching only + NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/,,Verify non-http Matching the TP-polocy kernel matching only + NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/,,Verify ftp Matching the TP-polocy @user space + NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/,,Verify ssh Matching the TP-polocy @user space + NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/,,Verify non-http Matching the TP-polocy kernel matching only + NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/,,Verify GET/POST/PUT Matching the TP-polocy multi dstintf + NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/,,Verify GET/POST/PUT Matching the TP-polocy multi srctintf + NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
/FortiProxy/7.4.0/Sanity/Bridge-mode/Policy-Matching/TP-Basic/,,Verify policy Matching the TP-polocy with expired schedule + NAT – ACCEPT,Critical,,Untested,,,Leonardo Chen,No,,,
